Hepatite,Município,cod_ibge,quantidade,code_muni,name,crs,Data,pop,Data_Formatada,Taxa
Hepatite A,Água Santa,430005,0,4300059,Água Santa,06Âª CRS,2017-01-01 00:00:00,4013,01/01/2017,0
Hepatite A,Água Santa,430005,0,4300059,Água Santa,06Âª CRS,2018-01-01 00:00:00,4057,01/01/2018,0
Hepatite A,Água Santa,430005,0,4300059,Água Santa,06Âª CRS,2019-01-01 00:00:00,4107,01/01/2019,0
Hepatite A,Água Santa,430005,0,4300059,Água Santa,06Âª CRS,2020-01-01 00:00:00,4093,01/01/2020,0
Hepatite A,Água Santa,430005,0,4300059,Água Santa,06Âª CRS,2021-01-01 00:00:00,4256,01/01/2021,0
Hepatite A,Água Santa,430005,0,4300059,Água Santa,06Âª CRS,2022-01-01 00:00:00,4256,01/01/2022,0
Hepatite A,Água Santa,430005,0,4300059,Água Santa,06Âª CRS,2023-01-01 00:00:00,4256,01/01/2023,0
Hepatite B,Água Santa,430005,0,4300059,Água Santa,06Âª CRS,2015-01-01 00:00:00,3859,01/01/2015,0
Hepatite B,Água Santa,430005,3,4300059,Água Santa,06Âª CRS,2016-01-01 00:00:00,3939,01/01/2016,"76,16"
Hepatite B,Água Santa,430005,1,4300059,Água Santa,06Âª CRS,2017-01-01 00:00:00,4013,01/01/2017,"24,92"
Hepatite B,Água Santa,430005,1,4300059,Água Santa,06Âª CRS,2018-01-01 00:00:00,4057,01/01/2018,"24,65"
Hepatite B,Água Santa,430005,0,4300059,Água Santa,06Âª CRS,2019-01-01 00:00:00,4107,01/01/2019,0
Hepatite B,Água Santa,430005,0,4300059,Água Santa,06Âª CRS,2020-01-01 00:00:00,4093,01/01/2020,0
Hepatite B,Água Santa,430005,0,4300059,Água Santa,06Âª CRS,2021-01-01 00:00:00,4256,01/01/2021,0
Hepatite B,Água Santa,430005,0,4300059,Água Santa,06Âª CRS,2022-01-01 00:00:00,4256,01/01/2022,0
Hepatite B,Água Santa,430005,0,4300059,Água Santa,06Âª CRS,2023-01-01 00:00:00,4256,01/01/2023,0
Hepatite C,Água Santa,430005,0,4300059,Água Santa,06Âª CRS,2015-01-01 00:00:00,3859,01/01/2015,0
Hepatite C,Água Santa,430005,0,4300059,Água Santa,06Âª CRS,2016-01-01 00:00:00,3939,01/01/2016,0
Hepatite C,Água Santa,430005,1,4300059,Água Santa,06Âª CRS,2017-01-01 00:00:00,4013,01/01/2017,"24,92"
Hepatite C,Água Santa,430005,0,4300059,Água Santa,06Âª CRS,2018-01-01 00:00:00,4057,01/01/2018,0
Hepatite C,Água Santa,430005,0,4300059,Água Santa,06Âª CRS,2019-01-01 00:00:00,4107,01/01/2019,0
Hepatite C,Água Santa,430005,0,4300059,Água Santa,06Âª CRS,2020-01-01 00:00:00,4093,01/01/2020,0
Hepatite C,Água Santa,430005,0,4300059,Água Santa,06Âª CRS,2021-01-01 00:00:00,4256,01/01/2021,0
Hepatite C,Água Santa,430005,0,4300059,Água Santa,06Âª CRS,2022-01-01 00:00:00,4256,01/01/2022,0
Hepatite C,Água Santa,430005,0,4300059,Água Santa,06Âª CRS,2023-01-01 00:00:00,4256,01/01/2023,0
Hepatite A,Agudo,430010,0,4300109,Agudo,04Âª CRS,2015-01-01 00:00:00,17014,01/01/2015,0
Hepatite A,Agudo,430010,0,4300109,Agudo,04Âª CRS,2016-01-01 00:00:00,16730,01/01/2016,0
Hepatite A,Agudo,430010,0,4300109,Agudo,04Âª CRS,2017-01-01 00:00:00,16475,01/01/2017,0
Hepatite A,Agudo,430010,0,4300109,Agudo,04Âª CRS,2018-01-01 00:00:00,16537,01/01/2018,0
Hepatite A,Agudo,430010,0,4300109,Agudo,04Âª CRS,2019-01-01 00:00:00,16556,01/01/2019,0
Hepatite A,Agudo,430010,0,4300109,Agudo,04Âª CRS,2020-01-01 00:00:00,16760,01/01/2020,0
Hepatite A,Agudo,430010,0,4300109,Agudo,04Âª CRS,2021-01-01 00:00:00,16612,01/01/2021,0
Hepatite A,Agudo,430010,0,4300109,Agudo,04Âª CRS,2022-01-01 00:00:00,16612,01/01/2022,0
Hepatite A,Agudo,430010,0,4300109,Agudo,04Âª CRS,2023-01-01 00:00:00,16612,01/01/2023,0
Hepatite B,Agudo,430010,2,4300109,Agudo,04Âª CRS,2015-01-01 00:00:00,17014,01/01/2015,"11,76"
Hepatite B,Agudo,430010,2,4300109,Agudo,04Âª CRS,2016-01-01 00:00:00,16730,01/01/2016,"11,95"
Hepatite B,Agudo,430010,2,4300109,Agudo,04Âª CRS,2017-01-01 00:00:00,16475,01/01/2017,"12,14"
Hepatite B,Agudo,430010,1,4300109,Agudo,04Âª CRS,2018-01-01 00:00:00,16537,01/01/2018,"6,05"
Hepatite B,Agudo,430010,0,4300109,Agudo,04Âª CRS,2019-01-01 00:00:00,16556,01/01/2019,0
Hepatite B,Agudo,430010,1,4300109,Agudo,04Âª CRS,2020-01-01 00:00:00,16760,01/01/2020,"5,97"
Hepatite B,Agudo,430010,3,4300109,Agudo,04Âª CRS,2021-01-01 00:00:00,16612,01/01/2021,"18,06"
Hepatite B,Agudo,430010,0,4300109,Agudo,04Âª CRS,2022-01-01 00:00:00,16612,01/01/2022,0
Hepatite B,Agudo,430010,0,4300109,Agudo,04Âª CRS,2023-01-01 00:00:00,16612,01/01/2023,0
Hepatite C,Agudo,430010,2,4300109,Agudo,04Âª CRS,2015-01-01 00:00:00,17014,01/01/2015,"11,76"
Hepatite C,Agudo,430010,1,4300109,Agudo,04Âª CRS,2016-01-01 00:00:00,16730,01/01/2016,"5,98"
Hepatite C,Agudo,430010,1,4300109,Agudo,04Âª CRS,2017-01-01 00:00:00,16475,01/01/2017,"6,07"
Hepatite C,Agudo,430010,0,4300109,Agudo,04Âª CRS,2018-01-01 00:00:00,16537,01/01/2018,0
Hepatite C,Agudo,430010,3,4300109,Agudo,04Âª CRS,2019-01-01 00:00:00,16556,01/01/2019,"18,12"
Hepatite C,Agudo,430010,0,4300109,Agudo,04Âª CRS,2020-01-01 00:00:00,16760,01/01/2020,0
Hepatite C,Agudo,430010,1,4300109,Agudo,04Âª CRS,2021-01-01 00:00:00,16612,01/01/2021,"6,02"
Hepatite C,Agudo,430010,1,4300109,Agudo,04Âª CRS,2022-01-01 00:00:00,16612,01/01/2022,"6,02"
Hepatite C,Agudo,430010,4,4300109,Agudo,04Âª CRS,2023-01-01 00:00:00,16612,01/01/2023,"24,08"
Hepatite A,Ajuricaba,430020,0,4300208,Ajuricaba,17Âª CRS,2015-01-01 00:00:00,7307,01/01/2015,0
Hepatite A,Ajuricaba,430020,0,4300208,Ajuricaba,17Âª CRS,2016-01-01 00:00:00,7461,01/01/2016,0
Hepatite A,Ajuricaba,430020,0,4300208,Ajuricaba,17Âª CRS,2017-01-01 00:00:00,7325,01/01/2017,0
Hepatite A,Ajuricaba,430020,0,4300208,Ajuricaba,17Âª CRS,2018-01-01 00:00:00,7546,01/01/2018,0
Hepatite A,Ajuricaba,430020,0,4300208,Ajuricaba,17Âª CRS,2019-01-01 00:00:00,7485,01/01/2019,0
Hepatite A,Ajuricaba,430020,0,4300208,Ajuricaba,17Âª CRS,2020-01-01 00:00:00,7584,01/01/2020,0
Hepatite A,Ajuricaba,430020,0,4300208,Ajuricaba,17Âª CRS,2021-01-01 00:00:00,7447,01/01/2021,0
Hepatite A,Ajuricaba,430020,0,4300208,Ajuricaba,17Âª CRS,2022-01-01 00:00:00,7447,01/01/2022,0
Hepatite A,Ajuricaba,430020,0,4300208,Ajuricaba,17Âª CRS,2023-01-01 00:00:00,7447,01/01/2023,0
Hepatite B,Ajuricaba,430020,0,4300208,Ajuricaba,17Âª CRS,2015-01-01 00:00:00,7307,01/01/2015,0
Hepatite B,Ajuricaba,430020,0,4300208,Ajuricaba,17Âª CRS,2016-01-01 00:00:00,7461,01/01/2016,0
Hepatite B,Ajuricaba,430020,0,4300208,Ajuricaba,17Âª CRS,2017-01-01 00:00:00,7325,01/01/2017,0
Hepatite B,Ajuricaba,430020,0,4300208,Ajuricaba,17Âª CRS,2018-01-01 00:00:00,7546,01/01/2018,0
Hepatite B,Ajuricaba,430020,0,4300208,Ajuricaba,17Âª CRS,2019-01-01 00:00:00,7485,01/01/2019,0
Hepatite B,Ajuricaba,430020,0,4300208,Ajuricaba,17Âª CRS,2020-01-01 00:00:00,7584,01/01/2020,0
Hepatite B,Ajuricaba,430020,0,4300208,Ajuricaba,17Âª CRS,2021-01-01 00:00:00,7447,01/01/2021,0
Hepatite B,Ajuricaba,430020,0,4300208,Ajuricaba,17Âª CRS,2022-01-01 00:00:00,7447,01/01/2022,0
Hepatite B,Ajuricaba,430020,0,4300208,Ajuricaba,17Âª CRS,2023-01-01 00:00:00,7447,01/01/2023,0
Hepatite C,Ajuricaba,430020,0,4300208,Ajuricaba,17Âª CRS,2015-01-01 00:00:00,7307,01/01/2015,0
Hepatite C,Ajuricaba,430020,0,4300208,Ajuricaba,17Âª CRS,2016-01-01 00:00:00,7461,01/01/2016,0
Hepatite C,Ajuricaba,430020,0,4300208,Ajuricaba,17Âª CRS,2017-01-01 00:00:00,7325,01/01/2017,0
Hepatite C,Ajuricaba,430020,0,4300208,Ajuricaba,17Âª CRS,2018-01-01 00:00:00,7546,01/01/2018,0
Hepatite C,Ajuricaba,430020,1,4300208,Ajuricaba,17Âª CRS,2019-01-01 00:00:00,7485,01/01/2019,"13,36"
Hepatite C,Ajuricaba,430020,0,4300208,Ajuricaba,17Âª CRS,2020-01-01 00:00:00,7584,01/01/2020,0
Hepatite C,Ajuricaba,430020,1,4300208,Ajuricaba,17Âª CRS,2021-01-01 00:00:00,7447,01/01/2021,"13,43"
Hepatite C,Ajuricaba,430020,0,4300208,Ajuricaba,17Âª CRS,2022-01-01 00:00:00,7447,01/01/2022,0
Hepatite C,Ajuricaba,430020,0,4300208,Ajuricaba,17Âª CRS,2023-01-01 00:00:00,7447,01/01/2023,0
Hepatite A,Alecrim,430030,0,4300307,Alecrim,14Âª CRS,2015-01-01 00:00:00,6593,01/01/2015,0
Hepatite A,Alecrim,430030,0,4300307,Alecrim,14Âª CRS,2016-01-01 00:00:00,6610,01/01/2016,0
Hepatite A,Alecrim,430030,0,4300307,Alecrim,14Âª CRS,2017-01-01 00:00:00,6569,01/01/2017,0
Hepatite A,Alecrim,430030,0,4300307,Alecrim,14Âª CRS,2018-01-01 00:00:00,6513,01/01/2018,0
Hepatite A,Alecrim,430030,0,4300307,Alecrim,14Âª CRS,2019-01-01 00:00:00,6435,01/01/2019,0
Hepatite A,Alecrim,430030,1,4300307,Alecrim,14Âª CRS,2020-01-01 00:00:00,6301,01/01/2020,"15,87"
Hepatite A,Alecrim,430030,0,4300307,Alecrim,14Âª CRS,2021-01-01 00:00:00,6403,01/01/2021,0
Hepatite A,Alecrim,430030,0,4300307,Alecrim,14Âª CRS,2022-01-01 00:00:00,6403,01/01/2022,0
Hepatite A,Alecrim,430030,0,4300307,Alecrim,14Âª CRS,2023-01-01 00:00:00,6403,01/01/2023,0
Hepatite B,Alecrim,430030,3,4300307,Alecrim,14Âª CRS,2015-01-01 00:00:00,6593,01/01/2015,"45,5"
Hepatite B,Alecrim,430030,4,4300307,Alecrim,14Âª CRS,2016-01-01 00:00:00,6610,01/01/2016,"60,51"
Hepatite B,Alecrim,430030,1,4300307,Alecrim,14Âª CRS,2017-01-01 00:00:00,6569,01/01/2017,"15,22"
Hepatite B,Alecrim,430030,0,4300307,Alecrim,14Âª CRS,2018-01-01 00:00:00,6513,01/01/2018,0
Hepatite B,Alecrim,430030,1,4300307,Alecrim,14Âª CRS,2019-01-01 00:00:00,6435,01/01/2019,"15,54"
Hepatite B,Alecrim,430030,0,4300307,Alecrim,14Âª CRS,2020-01-01 00:00:00,6301,01/01/2020,0
Hepatite B,Alecrim,430030,1,4300307,Alecrim,14Âª CRS,2021-01-01 00:00:00,6403,01/01/2021,"15,62"
Hepatite B,Alecrim,430030,0,4300307,Alecrim,14Âª CRS,2022-01-01 00:00:00,6403,01/01/2022,0
Hepatite B,Alecrim,430030,0,4300307,Alecrim,14Âª CRS,2023-01-01 00:00:00,6403,01/01/2023,0
Hepatite C,Alecrim,430030,0,4300307,Alecrim,14Âª CRS,2015-01-01 00:00:00,6593,01/01/2015,0
Hepatite C,Alecrim,430030,0,4300307,Alecrim,14Âª CRS,2016-01-01 00:00:00,6610,01/01/2016,0
Hepatite C,Alecrim,430030,0,4300307,Alecrim,14Âª CRS,2017-01-01 00:00:00,6569,01/01/2017,0
Hepatite C,Alecrim,430030,0,4300307,Alecrim,14Âª CRS,2018-01-01 00:00:00,6513,01/01/2018,0
Hepatite C,Alecrim,430030,0,4300307,Alecrim,14Âª CRS,2019-01-01 00:00:00,6435,01/01/2019,0
Hepatite C,Alecrim,430030,0,4300307,Alecrim,14Âª CRS,2020-01-01 00:00:00,6301,01/01/2020,0
Hepatite C,Alecrim,430030,0,4300307,Alecrim,14Âª CRS,2021-01-01 00:00:00,6403,01/01/2021,0
Hepatite C,Alecrim,430030,1,4300307,Alecrim,14Âª CRS,2022-01-01 00:00:00,6403,01/01/2022,"15,62"
Hepatite C,Alecrim,430030,0,4300307,Alecrim,14Âª CRS,2023-01-01 00:00:00,6403,01/01/2023,0
Hepatite A,Alegrete,430040,0,4300406,Alegrete,10Âª CRS,2015-01-01 00:00:00,77212,01/01/2015,0
Hepatite A,Alegrete,430040,0,4300406,Alegrete,10Âª CRS,2016-01-01 00:00:00,76860,01/01/2016,0
Hepatite A,Alegrete,430040,0,4300406,Alegrete,10Âª CRS,2017-01-01 00:00:00,72524,01/01/2017,0
Hepatite A,Alegrete,430040,0,4300406,Alegrete,10Âª CRS,2018-01-01 00:00:00,72516,01/01/2018,0
Hepatite A,Alegrete,430040,1,4300406,Alegrete,10Âª CRS,2019-01-01 00:00:00,72376,01/01/2019,"1,38"
Hepatite A,Alegrete,430040,0,4300406,Alegrete,10Âª CRS,2020-01-01 00:00:00,72072,01/01/2020,0
Hepatite A,Alegrete,430040,0,4300406,Alegrete,10Âª CRS,2021-01-01 00:00:00,72085,01/01/2021,0
Hepatite A,Alegrete,430040,0,4300406,Alegrete,10Âª CRS,2022-01-01 00:00:00,72085,01/01/2022,0
Hepatite A,Alegrete,430040,0,4300406,Alegrete,10Âª CRS,2023-01-01 00:00:00,72085,01/01/2023,0
Hepatite B,Alegrete,430040,3,4300406,Alegrete,10Âª CRS,2015-01-01 00:00:00,77212,01/01/2015,"3,89"
Hepatite B,Alegrete,430040,3,4300406,Alegrete,10Âª CRS,2016-01-01 00:00:00,76860,01/01/2016,"3,9"
Hepatite B,Alegrete,430040,3,4300406,Alegrete,10Âª CRS,2017-01-01 00:00:00,72524,01/01/2017,"4,14"
Hepatite B,Alegrete,430040,0,4300406,Alegrete,10Âª CRS,2018-01-01 00:00:00,72516,01/01/2018,0
Hepatite B,Alegrete,430040,3,4300406,Alegrete,10Âª CRS,2019-01-01 00:00:00,72376,01/01/2019,"4,15"
Hepatite B,Alegrete,430040,1,4300406,Alegrete,10Âª CRS,2020-01-01 00:00:00,72072,01/01/2020,"1,39"
Hepatite B,Alegrete,430040,0,4300406,Alegrete,10Âª CRS,2021-01-01 00:00:00,72085,01/01/2021,0
Hepatite B,Alegrete,430040,1,4300406,Alegrete,10Âª CRS,2022-01-01 00:00:00,72085,01/01/2022,"1,39"
Hepatite B,Alegrete,430040,0,4300406,Alegrete,10Âª CRS,2023-01-01 00:00:00,72085,01/01/2023,0
Hepatite C,Alegrete,430040,37,4300406,Alegrete,10Âª CRS,2015-01-01 00:00:00,77212,01/01/2015,"47,92"
Hepatite C,Alegrete,430040,36,4300406,Alegrete,10Âª CRS,2016-01-01 00:00:00,76860,01/01/2016,"46,84"
Hepatite C,Alegrete,430040,28,4300406,Alegrete,10Âª CRS,2017-01-01 00:00:00,72524,01/01/2017,"38,61"
Hepatite C,Alegrete,430040,17,4300406,Alegrete,10Âª CRS,2018-01-01 00:00:00,72516,01/01/2018,"23,44"
Hepatite C,Alegrete,430040,29,4300406,Alegrete,10Âª CRS,2019-01-01 00:00:00,72376,01/01/2019,"40,07"
Hepatite C,Alegrete,430040,14,4300406,Alegrete,10Âª CRS,2020-01-01 00:00:00,72072,01/01/2020,"19,43"
Hepatite C,Alegrete,430040,16,4300406,Alegrete,10Âª CRS,2021-01-01 00:00:00,72085,01/01/2021,"22,2"
Hepatite C,Alegrete,430040,12,4300406,Alegrete,10Âª CRS,2022-01-01 00:00:00,72085,01/01/2022,"16,65"
Hepatite C,Alegrete,430040,10,4300406,Alegrete,10Âª CRS,2023-01-01 00:00:00,72085,01/01/2023,"13,87"
Hepatite A,Alegria,430045,0,4300455,Alegria,14Âª CRS,2015-01-01 00:00:00,4039,01/01/2015,0
Hepatite A,Alegria,430045,0,4300455,Alegria,14Âª CRS,2016-01-01 00:00:00,4116,01/01/2016,0
Hepatite A,Alegria,430045,0,4300455,Alegria,14Âª CRS,2017-01-01 00:00:00,4137,01/01/2017,0
Hepatite A,Alegria,430045,0,4300455,Alegria,14Âª CRS,2018-01-01 00:00:00,4231,01/01/2018,0
Hepatite A,Alegria,430045,0,4300455,Alegria,14Âª CRS,2019-01-01 00:00:00,4227,01/01/2019,0
Hepatite A,Alegria,430045,0,4300455,Alegria,14Âª CRS,2020-01-01 00:00:00,4247,01/01/2020,0
Hepatite A,Alegria,430045,0,4300455,Alegria,14Âª CRS,2021-01-01 00:00:00,4219,01/01/2021,0
Hepatite A,Alegria,430045,0,4300455,Alegria,14Âª CRS,2022-01-01 00:00:00,4219,01/01/2022,0
Hepatite A,Alegria,430045,0,4300455,Alegria,14Âª CRS,2023-01-01 00:00:00,4219,01/01/2023,0
Hepatite B,Alegria,430045,0,4300455,Alegria,14Âª CRS,2015-01-01 00:00:00,4039,01/01/2015,0
Hepatite B,Alegria,430045,0,4300455,Alegria,14Âª CRS,2016-01-01 00:00:00,4116,01/01/2016,0
Hepatite B,Alegria,430045,0,4300455,Alegria,14Âª CRS,2017-01-01 00:00:00,4137,01/01/2017,0
Hepatite B,Alegria,430045,0,4300455,Alegria,14Âª CRS,2018-01-01 00:00:00,4231,01/01/2018,0
Hepatite B,Alegria,430045,0,4300455,Alegria,14Âª CRS,2019-01-01 00:00:00,4227,01/01/2019,0
Hepatite B,Alegria,430045,0,4300455,Alegria,14Âª CRS,2020-01-01 00:00:00,4247,01/01/2020,0
Hepatite B,Alegria,430045,0,4300455,Alegria,14Âª CRS,2021-01-01 00:00:00,4219,01/01/2021,0
Hepatite B,Alegria,430045,0,4300455,Alegria,14Âª CRS,2022-01-01 00:00:00,4219,01/01/2022,0
Hepatite B,Alegria,430045,0,4300455,Alegria,14Âª CRS,2023-01-01 00:00:00,4219,01/01/2023,0
Hepatite C,Alegria,430045,0,4300455,Alegria,14Âª CRS,2015-01-01 00:00:00,4039,01/01/2015,0
Hepatite C,Alegria,430045,0,4300455,Alegria,14Âª CRS,2016-01-01 00:00:00,4116,01/01/2016,0
Hepatite C,Alegria,430045,0,4300455,Alegria,14Âª CRS,2017-01-01 00:00:00,4137,01/01/2017,0
Hepatite C,Alegria,430045,0,4300455,Alegria,14Âª CRS,2018-01-01 00:00:00,4231,01/01/2018,0
Hepatite C,Alegria,430045,0,4300455,Alegria,14Âª CRS,2019-01-01 00:00:00,4227,01/01/2019,0
Hepatite C,Alegria,430045,0,4300455,Alegria,14Âª CRS,2020-01-01 00:00:00,4247,01/01/2020,0
Hepatite C,Alegria,430045,0,4300455,Alegria,14Âª CRS,2021-01-01 00:00:00,4219,01/01/2021,0
Hepatite C,Alegria,430045,0,4300455,Alegria,14Âª CRS,2022-01-01 00:00:00,4219,01/01/2022,0
Hepatite C,Alegria,430045,0,4300455,Alegria,14Âª CRS,2023-01-01 00:00:00,4219,01/01/2023,0
Hepatite A,Almirante Tamandaré do Sul,430047,0,4300471,Almirante Tamandaré do Sul,06Âª CRS,2015-01-01 00:00:00,2048,01/01/2015,0
Hepatite A,Almirante Tamandaré do Sul,430047,0,4300471,Almirante Tamandaré do Sul,06Âª CRS,2016-01-01 00:00:00,2083,01/01/2016,0
Hepatite A,Almirante Tamandaré do Sul,430047,0,4300471,Almirante Tamandaré do Sul,06Âª CRS,2017-01-01 00:00:00,2085,01/01/2017,0
Hepatite A,Almirante Tamandaré do Sul,430047,0,4300471,Almirante Tamandaré do Sul,06Âª CRS,2018-01-01 00:00:00,2083,01/01/2018,0
Hepatite A,Almirante Tamandaré do Sul,430047,0,4300471,Almirante Tamandaré do Sul,06Âª CRS,2019-01-01 00:00:00,2072,01/01/2019,0
Hepatite A,Almirante Tamandaré do Sul,430047,0,4300471,Almirante Tamandaré do Sul,06Âª CRS,2020-01-01 00:00:00,2052,01/01/2020,0
Hepatite A,Almirante Tamandaré do Sul,430047,0,4300471,Almirante Tamandaré do Sul,06Âª CRS,2021-01-01 00:00:00,2074,01/01/2021,0
Hepatite A,Almirante Tamandaré do Sul,430047,0,4300471,Almirante Tamandaré do Sul,06Âª CRS,2022-01-01 00:00:00,2074,01/01/2022,0
Hepatite A,Almirante Tamandaré do Sul,430047,0,4300471,Almirante Tamandaré do Sul,06Âª CRS,2023-01-01 00:00:00,2074,01/01/2023,0
Hepatite B,Almirante Tamandaré do Sul,430047,3,4300471,Almirante Tamandaré do Sul,06Âª CRS,2015-01-01 00:00:00,2048,01/01/2015,"146,48"
Hepatite B,Almirante Tamandaré do Sul,430047,0,4300471,Almirante Tamandaré do Sul,06Âª CRS,2016-01-01 00:00:00,2083,01/01/2016,0
Hepatite B,Almirante Tamandaré do Sul,430047,0,4300471,Almirante Tamandaré do Sul,06Âª CRS,2017-01-01 00:00:00,2085,01/01/2017,0
Hepatite B,Almirante Tamandaré do Sul,430047,0,4300471,Almirante Tamandaré do Sul,06Âª CRS,2018-01-01 00:00:00,2083,01/01/2018,0
Hepatite B,Almirante Tamandaré do Sul,430047,1,4300471,Almirante Tamandaré do Sul,06Âª CRS,2019-01-01 00:00:00,2072,01/01/2019,"48,26"
Hepatite B,Almirante Tamandaré do Sul,430047,0,4300471,Almirante Tamandaré do Sul,06Âª CRS,2020-01-01 00:00:00,2052,01/01/2020,0
Hepatite B,Almirante Tamandaré do Sul,430047,0,4300471,Almirante Tamandaré do Sul,06Âª CRS,2021-01-01 00:00:00,2074,01/01/2021,0
Hepatite B,Almirante Tamandaré do Sul,430047,1,4300471,Almirante Tamandaré do Sul,06Âª CRS,2022-01-01 00:00:00,2074,01/01/2022,"48,22"
Hepatite B,Almirante Tamandaré do Sul,430047,0,4300471,Almirante Tamandaré do Sul,06Âª CRS,2023-01-01 00:00:00,2074,01/01/2023,0
Hepatite C,Almirante Tamandaré do Sul,430047,0,4300471,Almirante Tamandaré do Sul,06Âª CRS,2015-01-01 00:00:00,2048,01/01/2015,0
Hepatite C,Almirante Tamandaré do Sul,430047,0,4300471,Almirante Tamandaré do Sul,06Âª CRS,2016-01-01 00:00:00,2083,01/01/2016,0
Hepatite C,Almirante Tamandaré do Sul,430047,0,4300471,Almirante Tamandaré do Sul,06Âª CRS,2017-01-01 00:00:00,2085,01/01/2017,0
Hepatite C,Almirante Tamandaré do Sul,430047,0,4300471,Almirante Tamandaré do Sul,06Âª CRS,2018-01-01 00:00:00,2083,01/01/2018,0
Hepatite C,Almirante Tamandaré do Sul,430047,0,4300471,Almirante Tamandaré do Sul,06Âª CRS,2019-01-01 00:00:00,2072,01/01/2019,0
Hepatite C,Almirante Tamandaré do Sul,430047,0,4300471,Almirante Tamandaré do Sul,06Âª CRS,2020-01-01 00:00:00,2052,01/01/2020,0
Hepatite C,Almirante Tamandaré do Sul,430047,0,4300471,Almirante Tamandaré do Sul,06Âª CRS,2021-01-01 00:00:00,2074,01/01/2021,0
Hepatite C,Almirante Tamandaré do Sul,430047,0,4300471,Almirante Tamandaré do Sul,06Âª CRS,2022-01-01 00:00:00,2074,01/01/2022,0
Hepatite C,Almirante Tamandaré do Sul,430047,0,4300471,Almirante Tamandaré do Sul,06Âª CRS,2023-01-01 00:00:00,2074,01/01/2023,0
